ID;Condição;Chutes;Chutes a gol;Posse de bola;Passes;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios
6041;Mandante;13;0;45%;326;20;2;0;3;3
6041;Visitante;16;0;55%;388;21;2;0;0;5
6040;Mandante;17;0;50%;406;20;2;0;2;11
6040;Visitante;10;0;50%;426;14;4;0;4;2
6042;Mandante;26;11;74%;702;9;2;0;1;5
6042;Visitante;3;0;26%;250;14;0;1;1;3
6044;Mandante;11;0;45%;401;17;3;0;2;5
6044;Visitante;17;0;55%;473;21;4;1;0;10
6046;Mandante;10;0;39%;335;17;1;0;1;2
6046;Visitante;17;0;61%;502;17;2;0;1;11
6048;Mandante;19;0;54%;502;17;2;0;1;4
6048;Visitante;12;0;46%;430;12;1;0;6;6
6047;Mandante;13;0;56%;487;17;3;0;4;2
6047;Visitante;11;0;44%;391;15;1;0;2;4
6049;Mandante;17;0;54%;449;17;1;0;0;7
6049;Visitante;7;0;46%;391;14;2;1;3;1
6045;Mandante;16;0;51%;462;10;2;0;2;4
6045;Visitante;8;0;49%;452;11;1;1;2;3
6043;Mandante;11;0;62%;439;16;3;0;0;4
6043;Visitante;5;0;38%;279;27;5;0;2;2
6052;Mandante;13;0;41%;334;14;2;0;0;6
6052;Visitante;8;0;59%;477;18;1;1;1;5
6051;Mandante;9;0;43%;353;22;2;0;3;2
6051;Visitante;10;0;57%;456;13;3;0;4;4
6050;Mandante;13;0;46%;437;16;2;0;1;7
6050;Visitante;11;0;54%;487;13;4;0;5;2
6055;Mandante;12;0;47%;381;18;2;0;3;6
6055;Visitante;14;0;53%;436;13;6;0;0;7
6056;Mandante;16;8;54%;466;17;2;0;1;7
6056;Visitante;8;2;46%;411;9;1;0;2;0
6054;Mandante;18;0;59%;492;10;2;0;6;13
6054;Visitante;14;0;41%;373;7;3;0;1;3
6059;Mandante;20;0;44%;351;18;1;0;2;15
6059;Visitante;7;0;56%;445;13;4;0;5;3
6053;Mandante;8;0;39%;377;17;3;0;5;1
6053;Visitante;11;0;61%;589;12;1;0;3;5
6058;Mandante;19;0;40%;373;15;1;0;5;6
6058;Visitante;10;0;60%;549;14;3;0;1;4
6057;Mandante;8;0;57%;451;17;3;0;2;4
6057;Visitante;6;0;43%;345;26;7;0;4;9
6062;Mandante;16;0;63%;642;12;2;0;3;5
6062;Visitante;7;0;37%;380;11;0;0;1;0
6060;Mandante;13;0;61%;466;15;6;0;1;8
6060;Visitante;7;0;39%;312;16;2;1;0;1
6061;Mandante;19;0;63%;536;16;6;0;1;11
6061;Visitante;5;0;37%;326;24;5;0;1;4
6068;Mandante;21;0;74%;445;13;6;1;5;13
6068;Visitante;7;0;26%;171;24;4;1;1;6
6067;Mandante;13;0;40%;307;13;5;0;3;4
6067;Visitante;15;0;60%;462;20;6;0;3;5
6065;Mandante;11;0;36%;324;7;4;1;4;2
6065;Visitante;16;0;64%;537;8;0;0;3;9
6063;Mandante;15;4;42%;355;19;2;0;2;9
6063;Visitante;7;2;58%;500;6;2;0;3;6
6066;Mandante;13;0;43%;338;15;5;0;0;4
6066;Visitante;8;0;57%;443;17;6;0;7;2
6064;Mandante;22;0;54%;390;17;2;0;3;16
6064;Visitante;15;0;46%;357;11;2;0;4;3
6069;Mandante;12;0;49%;388;13;1;0;1;2
6069;Visitante;9;0;51%;385;17;4;0;0;5
6072;Mandante;13;0;47%;438;20;4;0;1;0
6072;Visitante;14;0;53%;483;15;1;1;0;4
6071;Mandante;11;0;58%;413;17;4;0;3;5
6071;Visitante;11;0;42%;310;21;4;0;0;3
6070;Mandante;10;0;54%;464;12;0;0;1;4
6070;Visitante;19;0;46%;399;13;4;0;4;7
6075;Mandante;18;0;54%;472;9;1;0;6;8
6075;Visitante;15;0;46%;415;11;2;0;0;7
6073;Mandante;10;0;41%;345;14;1;0;0;2
6073;Visitante;9;0;59%;495;14;1;0;1;3
6076;Mandante;21;0;53%;457;16;0;0;2;5
6076;Visitante;9;0;47%;413;12;3;0;3;7
6079;Mandante;9;0;54%;477;21;5;0;4;2
6079;Visitante;12;0;46%;409;21;5;0;3;6
6074;Mandante;8;0;54%;516;19;3;0;3;5
6074;Visitante;14;0;46%;434;17;0;1;3;10
6078;Mandante;15;5;67%;475;24;5;1;1;8
6078;Visitante;7;2;33%;253;23;3;1;0;1
6077;Mandante;9;0;32%;266;17;3;0;2;5
6077;Visitante;22;0;68%;545;11;5;1;1;4
6081;Mandante;12;0;47%;385;12;1;0;1;6
6081;Visitante;9;0;53%;442;8;4;0;5;4
6085;Mandante;14;0;52%;441;15;1;2;0;6
6085;Visitante;16;0;48%;417;18;3;0;3;2
6082;Mandante;10;0;53%;349;16;3;0;1;7
6082;Visitante;12;0;47%;314;12;5;0;1;10
6086;Mandante;13;0;63%;531;14;5;0;1;8
6086;Visitante;8;0;37%;329;15;3;1;0;1
6083;Mandante;11;0;52%;410;16;2;0;2;5
6083;Visitante;8;0;48%;378;17;3;0;1;10
6080;Mandante;7;0;46%;395;12;3;0;3;10
6080;Visitante;16;0;54%;479;15;3;0;4;7
6084;Mandante;13;0;38%;397;22;2;0;6;3
6084;Visitante;20;0;62%;627;10;3;0;0;5
6088;Mandante;12;6;53%;451;13;1;0;1;3
6088;Visitante;8;4;47%;414;24;4;0;3;4
6089;Mandante;16;0;67%;597;11;2;0;4;7
6089;Visitante;9;0;33%;296;13;4;0;1;3
6087;Mandante;15;0;57%;456;15;1;0;3;9
6087;Visitante;5;0;43%;354;13;4;0;1;2
6093;Mandante;14;0;64%;462;12;0;0;3;7
6093;Visitante;11;0;36%;268;13;0;0;2;6
6094;Mandante;18;0;64%;437;13;1;0;2;5
6094;Visitante;6;0;36%;262;12;0;1;1;1
6090;Mandante;18;0;52%;451;17;2;0;2;6
6090;Visitante;19;0;48%;416;15;2;0;3;2
6091;Mandante;13;0;45%;380;15;4;0;2;7
6091;Visitante;14;0;55%;480;7;3;0;2;3
6092;Mandante;14;0;51%;432;8;1;0;1;9
6092;Visitante;13;0;49%;430;9;1;0;0;5
6095;Mandante;13;0;60%;631;19;3;0;2;4
6095;Visitante;9;0;40%;436;14;2;0;1;3
6099;Mandante;12;0;51%;424;5;3;1;2;3
6099;Visitante;18;0;49%;401;16;5;0;4;11
6098;Mandante;7;0;33%;253;22;3;0;7;2
6098;Visitante;13;0;67%;506;14;3;0;3;4
6097;Mandante;8;0;56%;496;15;2;0;4;6
6097;Visitante;11;0;44%;401;17;4;0;2;2
6096;Mandante;15;4;47%;408;12;3;0;3;7
6096;Visitante;7;1;53%;479;10;2;0;0;5
6100;Mandante;18;0;63%;520;8;1;0;4;12
6100;Visitante;10;0;37%;320;15;4;0;4;5
6103;Mandante;12;0;57%;478;17;2;0;0;8
6103;Visitante;8;0;43%;380;14;3;1;2;2
6104;Mandante;15;0;60%;460;5;2;0;3;7
6104;Visitante;5;0;40%;322;29;4;0;1;3
6101;Mandante;13;0;48%;392;10;0;0;4;4
6101;Visitante;12;0;52%;427;9;2;0;1;7
6105;Mandante;10;0;47%;379;10;0;0;7;3
6105;Visitante;21;0;53%;417;13;4;0;2;6
6102;Mandante;14;0;60%;536;13;2;0;3;6
6102;Visitante;8;0;40%;362;25;4;0;1;0
6107;Mandante;16;0;62%;430;24;3;0;3;5
6107;Visitante;17;0;38%;279;19;3;0;1;6
6106;Mandante;8;0;58%;304;14;4;0;0;5
6106;Visitante;9;0;42%;229;26;3;0;4;2
6109;Mandante;25;11;68%;564;6;0;0;1;7
6109;Visitante;6;3;32%;283;13;6;2;0;2
6108;Mandante;20;0;56%;428;8;1;0;6;13
6108;Visitante;12;0;44%;344;22;4;0;0;7
6110;Mandante;14;0;39%;267;16;4;0;2;4
6110;Visitante;14;0;61%;425;18;2;0;0;4
6114;Mandante;12;0;46%;425;10;2;0;1;4
6114;Visitante;9;0;54%;482;12;3;0;0;4
6111;Mandante;12;0;54%;504;8;0;0;1;4
6111;Visitante;8;0;46%;457;14;0;1;1;3
6113;Mandante;10;0;41%;351;19;4;1;4;6
6113;Visitante;10;0;59%;502;17;3;1;1;7
6112;Mandante;12;0;49%;485;11;4;0;7;1
6112;Visitante;14;0;51%;476;9;3;0;0;7
6117;Mandante;14;0;62%;526;9;4;0;2;5
6117;Visitante;6;0;38%;323;16;3;0;1;4
6118;Mandante;12;0;48%;377;13;4;1;0;3
6118;Visitante;15;0;52%;394;12;4;1;2;11
6116;Mandante;17;0;51%;381;10;2;0;4;2
6116;Visitante;15;0;49%;384;20;3;2;2;3
6115;Mandante;16;0;58%;414;14;1;0;9;9
6115;Visitante;13;0;42%;314;13;5;0;1;9
6119;Mandante;21;6;48%;452;16;2;0;1;3
6119;Visitante;11;3;52%;473;18;3;0;0;6
6122;Mandante;12;0;50%;375;14;3;0;1;12
6122;Visitante;7;0;50%;406;16;3;0;3;4
6120;Mandante;14;0;64%;433;7;1;0;2;16
6120;Visitante;14;0;36%;265;16;6;0;1;3
6121;Mandante;13;0;52%;473;10;0;0;1;7
6121;Visitante;6;0;48%;452;11;2;0;3;3
6123;Mandante;13;0;58%;505;11;2;0;4;10
6123;Visitante;7;0;42%;376;13;1;0;7;3
6127;Mandante;13;0;40%;344;18;1;0;2;8
6127;Visitante;9;0;60%;503;14;3;0;3;2
6125;Mandante;19;6;46%;371;15;2;0;6;13
6125;Visitante;10;5;54%;443;12;2;1;1;3
6128;Mandante;14;0;52%;408;16;1;0;2;6
6128;Visitante;18;0;48%;371;27;2;0;1;5
6124;Mandante;12;0;49%;362;22;5;0;4;3
6124;Visitante;11;0;51%;373;15;5;0;3;2
6129;Mandante;6;0;32%;255;18;4;0;1;2
6129;Visitante;6;0;68%;535;10;0;0;7;10
6126;Mandante;12;0;61%;506;4;3;0;2;8
6126;Visitante;16;0;39%;324;12;2;1;3;7
6135;Mandante;13;0;40%;322;13;2;0;2;6
6135;Visitante;12;0;60%;469;8;2;1;3;7
6136;Mandante;13;0;48%;375;16;3;1;6;6
6136;Visitante;13;0;52%;404;11;2;1;1;6
6134;Mandante;16;0;48%;428;15;0;0;4;2
6134;Visitante;8;0;52%;472;17;3;0;2;3
6130;Mandante;16;0;60%;564;8;3;0;6;3
6130;Visitante;10;0;40%;394;11;5;0;5;4
6132;Mandante;8;0;63%;580;14;3;0;1;3
6132;Visitante;11;0;37%;337;11;2;0;4;3
6133;Mandante;22;0;58%;478;21;5;0;1;13
6133;Visitante;14;0;42%;353;21;6;0;0;2
6131;Mandante;11;0;46%;432;17;2;0;1;4
6131;Visitante;10;0;54%;501;8;0;0;3;2
6137;Mandante;17;0;46%;468;5;1;0;0;5
6137;Visitante;11;0;54%;522;12;2;0;2;5
6138;Mandante;10;0;46%;395;17;1;1;1;1
6138;Visitante;16;0;54%;443;20;2;0;1;4
6139;Mandante;8;0;52%;442;7;2;0;1;1
6139;Visitante;9;0;48%;424;21;3;0;1;3
6140;Mandante;12;0;59%;454;22;1;0;4;5
6140;Visitante;6;0;41%;333;17;2;0;2;4
6141;Mandante;19;0;68%;508;12;1;0;2;14
6141;Visitante;7;0;32%;261;12;1;2;0;4
6142;Mandante;18;0;54%;424;10;0;0;1;6
6142;Visitante;5;0;46%;370;18;2;1;1;4
6145;Mandante;13;0;37%;293;16;5;1;4;5
6145;Visitante;11;0;63%;500;14;2;0;2;9
6143;Mandante;6;0;38%;382;12;2;0;3;5
6143;Visitante;14;0;62%;605;12;2;0;1;7
6144;Mandante;14;0;60%;492;18;1;0;3;7
6144;Visitante;7;0;40%;333;16;2;0;2;4
6148;Mandante;7;0;41%;462;13;3;1;0;1
6148;Visitante;17;0;59%;654;12;1;0;2;2
6149;Mandante;19;0;53%;506;12;3;0;1;1
6149;Visitante;9;0;47%;464;22;3;0;1;5
6147;Mandante;12;0;62%;549;9;3;0;4;8
6147;Visitante;9;0;38%;346;20;2;0;3;5
6146;Mandante;11;0;46%;452;5;1;1;5;6
6146;Visitante;19;0;54%;537;11;3;0;0;4
6152;Mandante;12;0;41%;365;8;1;0;0;5
6152;Visitante;10;0;59%;529;7;2;0;3;8
6154;Mandante;14;0;41%;374;7;0;0;1;7
6154;Visitante;8;0;59%;546;8;3;0;1;5
6150;Mandante;19;0;52%;422;18;4;0;1;7
6150;Visitante;8;0;48%;396;17;6;0;6;2
6155;Mandante;13;0;52%;337;11;1;0;2;7
6155;Visitante;11;0;48%;325;21;2;0;0;10
6156;Mandante;18;0;57%;430;12;2;0;2;11
6156;Visitante;12;0;43%;329;11;6;0;1;2
6151;Mandante;12;0;54%;462;17;2;0;7;9
6151;Visitante;10;0;46%;404;12;2;0;0;5
6153;Mandante;9;0;60%;563;17;3;0;2;3
6153;Visitante;8;0;40%;385;19;2;0;5;2
6157;Mandante;14;0;48%;475;12;3;0;0;8
6157;Visitante;10;0;52%;507;10;0;0;4;2
6158;Mandante;8;0;47%;453;6;1;0;1;3
6158;Visitante;11;0;53%;478;13;2;0;3;8
6159;Mandante;15;0;39%;297;10;2;0;5;6
6159;Visitante;8;0;61%;454;15;2;0;1;5
6162;Mandante;14;0;48%;391;12;1;0;2;6
6162;Visitante;5;0;52%;419;12;5;0;1;2
6161;Mandante;21;0;62%;590;16;1;0;0;6
6161;Visitante;7;0;38%;372;12;3;0;0;3
6160;Mandante;11;0;44%;406;13;1;0;2;4
6160;Visitante;13;0;56%;503;19;3;0;0;4
6169;Mandante;16;0;53%;447;18;1;0;5;2
6169;Visitante;10;0;47%;397;14;3;0;3;10
6168;Mandante;8;0;63%;456;17;4;0;4;6
6168;Visitante;7;0;37%;283;19;3;0;3;2
6165;Mandante;16;0;60%;535;7;0;0;7;13
6165;Visitante;8;0;40%;394;15;2;0;1;1
6167;Mandante;23;0;59%;456;12;1;0;1;10
6167;Visitante;9;0;41%;322;11;2;0;2;2
6166;Mandante;22;0;64%;537;17;2;0;0;11
6166;Visitante;3;0;36%;315;13;1;0;1;2
6163;Mandante;11;0;59%;506;10;2;0;5;6
6163;Visitante;12;0;41%;351;17;1;0;3;4
6164;Mandante;14;0;39%;280;15;4;0;4;6
6164;Visitante;13;0;61%;433;14;2;0;1;7
6172;Mandante;8;0;63%;540;18;1;0;1;6
6172;Visitante;10;0;37%;315;12;1;0;4;5
6171;Mandante;21;0;39%;323;12;1;0;1;7
6171;Visitante;6;0;61%;506;11;5;0;1;4
6170;Mandante;8;0;44%;392;12;1;0;4;2
6170;Visitante;16;0;56%;467;15;1;0;2;6
6176;Mandante;20;0;56%;439;14;2;0;2;7
6176;Visitante;10;0;44%;350;13;3;0;4;1
6174;Mandante;9;0;41%;356;20;1;0;2;2
6174;Visitante;12;0;59%;523;18;2;0;0;2
6178;Mandante;15;0;46%;408;9;1;0;4;2
6178;Visitante;7;0;54%;468;12;0;2;8;3
6179;Mandante;16;0;58%;375;15;2;0;0;9
6179;Visitante;8;0;42%;287;17;6;0;2;2
6177;Mandante;9;0;44%;301;24;3;0;3;2
6177;Visitante;14;0;56%;374;10;3;0;3;5
6173;Mandante;20;0;67%;554;7;1;0;1;6
6173;Visitante;9;0;33%;263;16;3;0;0;3
6175;Mandante;21;0;54%;451;11;2;0;1;8
6175;Visitante;8;0;46%;397;14;5;0;1;2
6182;Mandante;20;0;47%;362;5;3;0;2;7
6182;Visitante;18;0;53%;442;17;3;0;1;2
6180;Mandante;17;0;57%;582;6;0;0;7;13
6180;Visitante;8;0;43%;462;8;0;0;0;4
6181;Mandante;15;0;62%;508;16;2;0;1;8
6181;Visitante;8;0;38%;311;19;4;0;3;9
6185;Mandante;9;0;48%;372;15;2;0;3;1
6185;Visitante;12;0;52%;373;16;3;1;1;10
6188;Mandante;13;0;50%;481;4;2;0;7;7
6188;Visitante;10;0;50%;482;12;2;0;2;6
6184;Mandante;21;0;58%;416;10;2;0;1;13
6184;Visitante;13;0;42%;315;19;2;0;3;8
6183;Mandante;11;0;54%;461;7;3;0;10;5
6183;Visitante;8;0;46%;405;18;3;0;0;5
6189;Mandante;10;0;49%;428;16;0;0;4;5
6189;Visitante;11;0;51%;457;14;1;0;0;2
6186;Mandante;14;0;43%;330;11;2;0;0;11
6186;Visitante;8;0;57%;448;6;1;0;1;4
6187;Mandante;8;0;56%;446;14;3;0;8;8
6187;Visitante;18;0;44%;363;21;1;0;5;4
6191;Mandante;20;0;60%;552;7;0;0;0;3
6191;Visitante;11;0;40%;357;15;3;0;9;4
6190;Mandante;14;0;49%;521;6;0;0;2;3
6190;Visitante;15;0;51%;550;6;1;0;7;4
6192;Mandante;12;0;45%;399;16;3;0;3;4
6192;Visitante;9;0;55%;484;13;1;1;1;4
6195;Mandante;17;0;61%;459;11;4;0;3;9
6195;Visitante;14;0;39%;297;19;4;0;1;7
6197;Mandante;16;0;51%;433;13;1;0;2;5
6197;Visitante;9;0;49%;442;18;2;0;2;4
6199;Mandante;3;0;51%;393;22;2;0;2;10
6199;Visitante;8;0;49%;392;9;1;0;0;4
6193;Mandante;11;0;64%;509;4;3;0;2;11
6193;Visitante;11;0;36%;301;13;2;0;3;7
6198;Mandante;12;0;44%;303;19;2;0;1;4
6198;Visitante;19;0;56%;388;18;3;0;1;5
6196;Mandante;26;0;55%;443;17;4;0;2;9
6196;Visitante;10;0;45%;395;14;2;0;0;3
6194;Mandante;7;0;49%;457;15;1;0;3;6
6194;Visitante;11;0;51%;473;17;2;0;5;6
6200;Mandante;13;0;30%;221;14;2;0;2;6
6200;Visitante;13;0;70%;526;12;2;0;3;9
6201;Mandante;12;0;51%;453;12;1;0;1;5
6201;Visitante;8;0;49%;447;15;4;0;3;5
6206;Mandante;16;0;53%;516;6;0;0;4;7
6206;Visitante;8;0;47%;491;11;0;0;0;2
6205;Mandante;20;0;60%;440;17;2;0;2;9
6205;Visitante;15;0;40%;301;21;4;0;3;9
6203;Mandante;19;0;59%;503;13;4;0;7;8
6203;Visitante;10;0;41%;354;16;1;1;4;5
6207;Mandante;17;0;48%;415;21;4;0;4;5
6207;Visitante;13;0;52%;446;18;3;0;4;7
6209;Mandante;10;0;41%;337;17;2;0;0;3
